Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник,,,,,,Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник
Ranunculaceae,Actaea erythrocarpa Fisch.,Actaea rubra (Aiton) Willd., + ,-,,,,,,Ranunculaceae,Ranunculus ganeschinii Tzvel. (R. aggr. auricomus L.),Ranunculus ganeschinii Tzvelev, + ,-
Ranunculaceae,Actaea spicata L.,Actaea spicata L., + ,+,,,,,,Ranunculaceae,Ranunculus gmelinii DC.,Ranunculus gmelinii DC., + ,-
Ranunculaceae,Anemonoides altaica (C.A.Mey.) Holub,Anemone altaica Fisch. ex C.A.Mey., + ,+,,,,,,Ranunculaceae,Ranunculus haasii Soo ,Ranunculus haasii Soó, + ,-
Ranunculaceae,Anemonoides reflexa (Steph.) Holub,Anemone reflexa Stephan ex Willd., + ,-,,,,,,Ranunculaceae,Ranunculus imitans (Markl.) Ericss. (R. aggr. cassubicus L.) (= R. cassubicus subsp. imitans Markl.),Ranunculus imitans (Markl.) Ericsson, + ,-
Ranunculaceae,Anemonoides uralensis (DC.) Holub,Anemone uralensis Fisch. ex DC., + ,-,,,,,,Ranunculaceae,Ranunculus inopinus (Markl.) Ericss. (R. aggr. cassubicus L.) (=R. cassubicus subsp. inopinus Markl.),Ranunculus inopinus (Markl.) Ericsson, + ,-
Ranunculaceae,Atragene sibirica L.,Clematis alpina subsp. sibirica (L.) Kuntze, + ,-,,,,,,Ranunculaceae,Ranunculus kalinensis (Markl.) Ericss. ,Ranunculus kalinensis Jasiewicz, + ,-
Ranunculaceae,Batrachium eradicatum (Laest.) Fries,Ranunculus trichophyllus subsp. eradicatus (Laest.) C.D.K.Cook, + ,-,,,,,,Ranunculaceae,Ranunculus lapponicus L.,Coptidium lapponicum (L.) Gand. ex Rydb., + ,-
Ranunculaceae, Ranunculus trichophyllus Chaix,Ranunculus trichophyllus Chaix ex Vill., + ,-,,,,,,Ranunculaceae,Ranunculus lingua L.,,-,+
Ranunculaceae,Caltha palustris L.,Caltha palustris L., + ,-,,,,,,Ranunculaceae,Ranunculus mesidius (Markl.) Ericss. (R. aggr. fallax (Wimm. et. Grab.) Sloboda) (= R. fallax subsp. mesidius Markl.),Ranunculus mesidius (Markl.) Ericsson, + ,-
Ranunculaceae,Delphinium elatum L.,Delphinium elatum L., + ,-,,,,,,Ranunculaceae,Ranunculus monophyllus Ovcz. s. str. (R. aggr. monophyllus Ovcz.),Ranunculus monophyllus Ovcz., + ,+
Ranunculaceae,Ranunculus monophyllus Ovcz. s. str. (R. aggr. monophyllus Ovcz.),Ranunculus monophyllus Ovcz., + ,+,,,,,,Ranunculaceae,Ranunculus nemorosus DC.,,-,+
Ranunculaceae,Ranunculus acris L.,Ranunculus acris L., + ,+,,,,,,Ranunculaceae,Ranunculus obtusulus Markl. (R. aggr. auricomus L.),Ranunculus obtusulus Markl., + ,-
Ranunculaceae,Ranunculus antygophyllus (Markl.) Ericss. (R. aggr. fallax (Wimm. et. Grab.) Sloboda) (= R. fallax subsp. antygophyllus Markl.),Ranunculus antygophyllus (Markl.) Ericsson, + ,-,,,,,,Ranunculaceae,Ranunculus ostrobottnicus (Markl. et Kvist) Ericss. (R. aggr. auricomus L.) (= R. auricomus subsp. ostrobottnicus Markl. ex Kvist.),Ranunculus ostrobottnicus (Markl. ex G.Kvist) Ericsson, + ,-
Ranunculaceae,"Ranunculus auricomus L. s.str. (R. aggr. auricomus L.) (= R. binatus Kit. ex Reichenb., R. phragmiteti Haas, R. auricomiformis Soo, R. auricomus subsp. inconspectus Markl., R. inconspectus (Markl.) Ericss., R. auricomus subsp. hypochromatinus Markl. ex Fagerstr., R. hypochromatinus (Markl. ex Fagerstr.) Ericss., R. auricomus subsp. metrius Markl. ex Fagerstr., R. metrius (Markl. ex Fagerstr.) Ericss.)",Ranunculus auricomus L., + ,+,,,,,,Ranunculaceae,Ranunculus permiensis E. Chugaynova (R. aggr. monophyllus Ovcz.),Ranunculus permiensis Chugayn., + ,-
Ranunculaceae,"Ranunculus brunnescens (Markl.) Ericss. (R. aggr. auricomus L.) (R. auricomus subsp. brunnescens Markl., R. auricomus subsp. dialeptus Markl., R. auricomus subsp. gyratidens Markl., R. auricomus subsp. laeticolor Markl., R. dialeptus (Markl.) Ericss., R. gyratidens (Markl.) Ericss., R. laeticolor (Markl.) Ericss.)",Ranunculus brunnescens (Markl.) Ericsson, + ,-,,,,,,Ranunculaceae,Ranunculus polyanthemos L.,Ranunculus polyanthemos L., + ,+
Ranunculaceae,"Ranunculus cassubicus L. s. str. (R. aggr. cassubicus L.) (= R. cassubicus subsp. confinis Markl., R. confinis (Markl.) Ericss.)",Ranunculus cassubicus L., + ,+,,,,,,Ranunculaceae,Ranunculus polyphyllus Waldst. et Kit. ex Willd.,,-,+
Ranunculaceae,Ranunculus ganeschinii Tzvel. (R. aggr. auricomus L.),Ranunculus ganeschinii Tzvelev, + ,-,,,,,,Ranunculaceae,Ranunculus polyrhizos Steph.,,-,+
Ranunculaceae,Ranunculus gmelinii DC.,Ranunculus gmelinii DC., + ,-,,,,,,Ranunculaceae,Ranunculus ponojensis (Markl.) Ericss. (R.  aggr. auricomus L.) (=R. monophylus subsp. ponojensis Markl.),Ranunculus ponojensis (Markl.) Ericsson, + ,-
Ranunculaceae,Ranunculus haasii Soo ,Ranunculus haasii Soó, + ,-,,,,,,Ranunculaceae,Ranunculus pronicus A. Skvorts. (R. aggr. monophyllus Ovcz. ),Ranunculus pronicus A.K.Skvortsov, + ,+
Ranunculaceae,Ranunculus imitans (Markl.) Ericss. (R. aggr. cassubicus L.) (= R. cassubicus subsp. imitans Markl.),Ranunculus imitans (Markl.) Ericsson, + ,-,,,,,,Ranunculaceae,Ranunculus quadrivaginatus (Valta) Ericss. (R. aggr. cassubicus L.) (= R. fallax subsp. quadrivaginatus Valta),Ranunculus quadrivaginatus (Valta) Ericsson, + ,-
Ranunculaceae,Ranunculus kalinensis (Markl.) Ericss. ,Ranunculus kalinensis Jasiewicz, + ,-,,,,,,Ranunculaceae,Ranunculus repens L.,Ranunculus repens L., + ,+
Ranunculaceae,Ranunculus lapponicus L.,Coptidium lapponicum (L.) Gand. ex Rydb., + ,-,,,,,,Ranunculaceae,Ranunculus rotundellus (Markl.) Ericss. (R.  aggr. auricomus L.) (= R. auricomus subsp. rotundellus Markl.),Ranunculus rotundellus (Markl.) Ericsson, + ,+
Ranunculaceae,Ranunculus mesidius (Markl.) Ericss. (R. aggr. fallax (Wimm. et. Grab.) Sloboda) (= R. fallax subsp. mesidius Markl.),Ranunculus mesidius (Markl.) Ericsson, + ,-,,,,,,Ranunculaceae,Ranunculus sceleratus L.,,-,+
Ranunculaceae,Ranunculus obtusulus Markl. (R. aggr. auricomus L.),Ranunculus obtusulus Markl., + ,-,,,,,,Ranunculaceae,Ranunculus schennikovii Ovez. ex Tzvel.,,-,+
Ranunculaceae,Ranunculus ostrobottnicus (Markl. et Kvist) Ericss. (R. aggr. auricomus L.) (= R. auricomus subsp. ostrobottnicus Markl. ex Kvist.),Ranunculus ostrobottnicus (Markl. ex G.Kvist) Ericsson, + ,-,,,,,,Ranunculaceae,Ranunculus silvisteppaceus Dubovik,,-,+
Ranunculaceae,Ranunculus polyanthemos L.,Ranunculus polyanthemos L., + ,+,,,,,,Ranunculaceae,Ranunculus subborealis Tzvel. (= R. propinquus C.A. Mey),Ranunculus subborealis Tzvelev, + ,-
Ranunculaceae,Ranunculus ponojensis (Markl.) Ericss. (R.  aggr. auricomus L.) (=R. monophylus subsp. ponojensis Markl.),Ranunculus ponojensis (Markl.) Ericsson, + ,-,,,,,,Ranunculaceae,Ranunculus vytegrensis (Fagerstr.) Ericss. (R. aggr. monophyllus Ovcz.) (= R. monophyllus subsp. vytegrensis Fagerstr.),Ranunculus vytegrensis (Fagerstr.) Ericsson, + ,-
Ranunculaceae,Ranunculus quadrivaginatus (Valta) Ericss. (R. aggr. cassubicus L.) (= R. fallax subsp. quadrivaginatus Valta),Ranunculus quadrivaginatus (Valta) Ericsson, + ,-,,,,,,Brassicaceae (Cruciferae),Raphanus raphanistrum L. ,,-,+
Ranunculaceae,Ranunculus repens L.,Ranunculus repens L., + ,+,,,,,,Resedaceae ,Reseda lutea L. ,,-,+
Ranunculaceae,Ranunculus subborealis Tzvel. (= R. propinquus C.A. Mey),Ranunculus subborealis Tzvelev, + ,-,,,,,,Rhamnaceae ,Rhamnus cathartica L.,,-,+
Ranunculaceae,Thalictrum minus L.,Thalictrum minus L., + ,+,,,,,,Scrophulariaceae,Rhinanthus aestivalis (N.W.Zinger) Schischk. et Serg.,Rhinanthus serotinus subsp. aestivalis (N.W.Zinger) Dostál, + ,-
Ranunculaceae,Thalictrum simplex L.,Thalictrum simplex L., + ,+,,,,,,Scrophulariaceae,Rhinanthus minor L.,Rhinanthus minor L., + ,-
Ranunculaceae,Trollius europaeus L.,Trollius europaeus L., + ,+,,,,,,Scrophulariaceae,Rhinanthus serotinus (Schoenh.) Oborny ,,-,+
Ranunculaceae, (Trollius apertus Perfil. ex Igoschina) (=T. ilmensis Sipl.),Trollius apertus Perfil. ex Igoschina, + ,-,,,,,,Scrophulariaceae,Rhinanthus vernalis (N. Zing.) Schischk. et Serg.,,-,+
Ranunculaceae,Ranunculus inopinus (Markl.) Ericss. (R. aggr. cassubicus L.) (=R. cassubicus subsp. inopinus Markl.),Ranunculus inopinus (Markl.) Ericsson, + ,-,,,,,,Athyriaceae,Rhizomatopteris sudetica (A.Br. et Milde) A.Khokhr. ,Cystopteris sudetica A. Braun & Milde, + ,-
Ranunculaceae,Ranunculus vytegrensis (Fagerstr.) Ericss. (R. aggr. monophyllus Ovcz.) (= R. monophyllus subsp. vytegrensis Fagerstr.),Ranunculus vytegrensis (Fagerstr.) Ericsson, + ,-,,,,,,Grossulariaceae,Ribes aureum Pursh ,,-,+
Ranunculaceae,Ranunculus permiensis E. Chugaynova (R. aggr. monophyllus Ovcz.),Ranunculus permiensis Chugayn., + ,-,,,,,,Grossulariaceae,Ribes hispidulum (Jancz.) Pojark.,Ribes spicatum subsp. hispidulum (Janch.) L.Hämet-Ahti, + ,-
Ranunculaceae,Batrachium circinatum (Sibth.) Spach,Ranunculus circinatus Sibth., + ,+,,,,,,Grossulariaceae,Ribes nigrum L.,Ribes nigrum L., + ,+
Ranunculaceae,Ranunculus rotundellus (Markl.) Ericss. (R.  aggr. auricomus L.) (= R. auricomus subsp. rotundellus Markl.),Ranunculus rotundellus (Markl.) Ericsson, + ,+,,,,,,Grossulariaceae,Ribes rubrum L.,,-,+
Ranunculaceae,"Ranunculus angustior (Markl.) Ericss. (R. aggr. сassubicus L.) (= R. cassubicus subsp. angustior Markl., R. cassubicus subsp. fedorovii Fagerstr., R. fedorovii (Fagerstr.) Ericss.)",Ranunculus angustior (Markl.) Ericsson, + ,-,,,,,,Brassicaceae (Cruciferae),Rorippa × anceps (Wahlenb.) Reichenb.,,-,+
Ranunculaceae,Ranunculus pronicus A. Skvorts. (R. aggr. monophyllus Ovcz. ),Ranunculus pronicus A.K.Skvortsov, + ,+,,,,,,Brassicaceae (Cruciferae),Rorippa × rmoracioides (Tausch) Fuss,,-,+
Ranunculaceae,Ranunculus circinatifrons (Markl.) Ericss. (R. aggr. сassubicus L.) (= R. cassubicus subsp. circinatifrons Markl.),Ranunculus circinatifrons (Markl.) Ericsson, + ,-,,,,,,Brassicaceae (Cruciferae),Rorippa amphibia (L.) Bess. ,,-,+
Ranunculaceae, Aconitum lasiostomum Reichenb. ,,-,+,,,,,,Brassicaceae (Cruciferae),Rorippa austriaca (Crantz) Bess.,,-,+
Ranunculaceae,Adonis vernalis L. ,,-,+,,,,,,Brassicaceae (Cruciferae),Rorippa brachycarpa (C.A. Mey.) Hayek,,-,+
Ranunculaceae,Adonis wolgensis Stev.,,-,+,,,,,,Brassicaceae (Cruciferae),Rorippa palustris (L.) Besser,Rorippa palustris (L.) Besser, + ,+
Ranunculaceae,Anemone sylvestris L. ,,-,+,,,,,,Brassicaceae (Cruciferae),Rorippa prolifera (Heuff.) Neilr.,,-,+
Ranunculaceae,Anemonoides × korshinsky S.Saksonov et N. Rakov,,-,+,,,,,,Brassicaceae (Cruciferae),Rorippa sylvestris (L.) Bess.,,-,+
Ranunculaceae,Anemonoides ranunculoides (L.) Holub,,-,+,,,,,,Rosaceae,Rosa acicularis Lindl.,Rosa acicularis Lindl., + ,-
Ranunculaceae,Aquilegia vulgaris L. ,,-,+,,,,,,Rosaceae,Rosa canina L. ,,-,+
Ranunculaceae,Batrachium trichophyllum (Chaix) Bosch,,-,+,,,,,,Rosaceae,Rosa corymbifera Borkh.,,-,+
Ranunculaceae,Buschia lateriflora (DC.) Ovcz. ,,-,+,,,,,,Rosaceae,Rosa glabrifolia C.A. Mey. ex Rupr.,,-,+
Ranunculaceae,Ceratocephala testiculata (Crantz) Bess. ,,-,+,,,,,,Rosaceae,Rosa gorinkensis Bess.,,-,+
Ranunculaceae,Clematis integrifolia L. ,,-,+,,,,,,Rosaceae,Rosa majalis Herrm.,Rosa majalis Herrm., + ,+
Ranunculaceae,Consolida regalis S.F. Gray ,,-,+,,,,,,Rosaceae,Rosa rubiginosa L.,,-,+
Ranunculaceae,Delphinium cuneatum Stev. ex DC. ,,-,+,,,,,,Rosaceae,Rosa rugosa Thunb.,,-,+
Ranunculaceae,Delphinium subcuneatum Tzvel.,,-,+,,,,,,Rubiaceae,Rubia tatarica (Trev.) Fr. Schmidt ,,-,+
Ranunculaceae,Ficaria verna Huds. ,,-,+,,,,,,Rosaceae,Rubus arcticus L.,Rubus arcticus L., + ,-
Ranunculaceae,Myosurus minimus L. ,,-,+,,,,,,Rosaceae,Rubus caesius L. ,,-,+
Ranunculaceae,Pulsatilla patens (L.) Mill. ,,-,+,,,,,,Rosaceae,Rubus chamaemorus L.,Rubus chamaemorus L., + ,-
Ranunculaceae,Ranunculus flammula L.,,-,+,,,,,,Rosaceae,Rubus humulifolius C.A.Mey.,Rubus humulifolius C.A.Mey., + ,-
Ranunculaceae,Ranunculus lingua L.,,-,+,,,,,,Rosaceae,Rubus idaeus L.,Rubus idaeus L., + ,+
Ranunculaceae,Ranunculus nemorosus DC.,,-,+,,,,,,Rosaceae,Rubus matsumuranus H.Levl. et Vaniot ,Rubus sachalinensis var. sachalinensis , + ,-
Ranunculaceae,Ranunculus polyphyllus Waldst. et Kit. ex Willd.,,-,+,,,,,,Rosaceae,Rubus saxatilis L.,Rubus saxatilis L., + ,+
Ranunculaceae,Ranunculus polyrhizos Steph.,,-,+,,,,,,Asteraceae (Compositae),Rudbeckia laciniata L. ,,-,+
Ranunculaceae,Ranunculus sceleratus L.,,-,+,,,,,,Polygonaceae,Rumex acetosa L.,Rumex acetosa L., + ,-
Ranunculaceae,Ranunculus schennikovii Ovez. ex Tzvel.,,-,+,,,,,,Polygonaceae,Rumex acetosella L.,Rumex acetosella L., + ,-
Ranunculaceae,Ranunculus silvisteppaceus Dubovik,,-,+,,,,,,Polygonaceae,Rumex aquaticus L.,Rumex aquaticus L., + ,+
Ranunculaceae,Thalictrum flavum L.,,-,+,,,,,,Polygonaceae,Rumex confertus Willd.,,-,+
Ranunculaceae,Thalictrum flexuosum Bernh. ex Reichenb.,,-,+,,,,,,Polygonaceae,Rumex crispus L.,Rumex crispus L., + ,+
Ranunculaceae,Thalictrum foetidum L.,,-,+,,,,,,Polygonaceae,Rumex hydrolapathum Huds.,,-,+
Resedaceae ,Reseda lutea L. ,,-,+,,,,,,Polygonaceae,Rumex longifolius DC.,Rumex longifolius DC., + ,-
Rhamnaceae ,Frangula alnus Mill.,,-,+,,,,,,Polygonaceae,Rumex maritimus L.,,-,+
Rhamnaceae ,Rhamnus cathartica L.,,-,+,,,,,,Polygonaceae,Rumex pseudonatronatus (Borbas) Borbas ex Murb.,Rumex pseudonatronatus (Borbás) Murb., + ,-
Rosaceae,Alchemilla acutiloba Opiz,Alchemilla acutiloba Opiz, + ,-,,,,,,Polygonaceae,Rumex stenopyllus Ledeb.,,-,+
Rosaceae,Alchemilla altaica Juz. (= A. stenantha Juz.),Alchemilla altaica Juz., + ,-,,,,,,Polygonaceae,Rumex sylvestris (Lam.) Wallr.,,-,+
Rosaceae,Alchemilla atrifolia Zamelis,Alchemilla lindbergiana Juz., + ,-,,,,,,Polygonaceae,Rumex ucranicus Fisch. ex Sprens.,,-,+
Rosaceae,Alchemilla baltica G. Sam. ex Juz.,Alchemilla baltica Sam. ex Juz., + ,+,,,,,,Caryophyllaceae,Sagina procumbens L.,Sagina procumbens L., + ,+
Rosaceae,Alchemilla breviloba H. Lindb.,Alchemilla breviloba H.Lindb., + ,+,,,,,,Alismataceae,Sagittaria sagittifolia L.,,-,+
Rosaceae,Alchemilla circularis Juz.,Alchemilla circularis Juz., + ,-,,,,,,Salicaceae,Salix acutifolia Willd. ,,-,+
Rosaceae,Alchemilla confertula Juz.,Alchemilla confertula Juz., + ,-,,,,,,Salicaceae,Salix alba L.,,-,+
Rosaceae,Alchemilla cymatophylla Juz.,Alchemilla cymatophylla Juz., + ,-,,,,,,Salicaceae,Salix aurita L.,,-,+
Rosaceae,Alchemilla exsculpta Juz.,Alchemilla exsculpta Juz., + ,-,,,,,,Salicaceae,Salix caprea L.,Salix caprea L., + ,+
Rosaceae,Alchemilla heptagona Juz.,Alchemilla heptagona Juz., + ,-,,,,,,Salicaceae,Salix cinerea L.,Salix cinerea L., + ,+
Rosaceae,Alchemilla hians Juz.,Alchemilla hians Juz., + ,-,,,,,,Salicaceae,Salix dasyclados Wimm.,Salix gmelinii Pall., + ,+
Rosaceae,Alchemilla integribasis Juz.,Alchemilla integribasis Juz., + ,-,,,,,,Salicaceae,Salix fragilis L.,,-,+
Rosaceae,Alchemilla leiophylla Juz.,Alchemilla leiophylla Juz., + ,-,,,,,,Salicaceae,Salix lapponum L.,Salix lapponum L., + ,+
Rosaceae,Alchemilla lessingiana Juz.,Alchemilla lessingiana Juz., + ,-,,,,,,Salicaceae,Salix myrsinifolia Salisb.,Salix myrsinifolia Salisb., + ,-
Rosaceae,Alchemilla longipes Juz.,Alchemilla longipes Juz., + ,-,,,,,,Salicaceae,Salix myrtilloides L.,Salix myrtilloides L., + ,+
Rosaceae,Alchemilla malimontana Juz.,Alchemilla malimontana Juz., + ,-,,,,,,Salicaceae,Salix pentandra L.,Salix pentandra L., + ,+
Rosaceae,Alchemilla micans Buser,Alchemilla micans Buser, + ,-,,,,,,Salicaceae,Salix phylicifolia L.,Salix phylicifolia L., + ,-
Rosaceae,Alchemilla monticola Opiz,Alchemilla monticola Opiz, + ,+,,,,,,Salicaceae,Salix rosmarinifolia L.,,-,+
Rosaceae,Alchemilla oligantha Juz.,Alchemilla oligantha Juz., + ,-,,,,,,Salicaceae,Salix rossica Nas.,,-,+
Rosaceae,Alchemilla rigescens Juz.,Alchemilla nemoralis Alechin, + ,-,,,,,,Salicaceae,Salix starkeana Willd.,,-,+
Rosaceae,Alchemilla samuelssonii Rothm. ex Fröhner,Alchemilla samuelssonii Rothm. ex S.E.Fr”hner, + ,-,,,,,,Salicaceae,Salix triandra L.,Salix triandra L., + ,+
Rosaceae,Alchemilla sarmatica Juz.,Alchemilla sarmatica Juz., + ,+,,,,,,Salicaceae,Salix viminalis L.,Salix viminalis L., + ,+
Rosaceae,Alchemilla semilunaris Alechin,Alchemilla semilunaris Alechin, + ,-,,,,,,Chenopodiaceae,Salsola collina Pall. ,,-,+
Rosaceae,Alchemilla sibirica Zamelis,Alchemilla sibirica Z„melis, + ,-,,,,,,Chenopodiaceae,Salsola tragus L. ,,-,+
Rosaceae,Alchemilla stellaris Juz.,Alchemilla stellaris Juz., + ,-,,,,,,Lamiaceae (Labiatae),Salvia glutinosa L. ,,-,+
Rosaceae,Alchemilla subcrenata Bus.,Alchemilla subcrenata Buser, + ,+,,,,,,Lamiaceae (Labiatae),Salvia nutans L.,,-,+
Rosaceae,Alchemilla tubulosa Juz.,Alchemilla tubulosa Juz., + ,-,,,,,,Lamiaceae (Labiatae),Salvia pratensis L.,,-,+
Rosaceae,Comarum palustre L.,Comarum palustre L., + ,+,,,,,,Lamiaceae (Labiatae),Salvia stepposa Schost.,,-,+
Rosaceae,Filipendula ulmaria (L.) Maxim.,Filipendula ulmaria (L.) Maxim., + ,+,,,,,,Lamiaceae (Labiatae),Salvia tesquicola Klok. et Pobed.,,-,+
Rosaceae,Fragaria vesca L.,Fragaria vesca L., + ,+,,,,,,Lamiaceae (Labiatae),Salvia verticillata L.,,-,+
Rosaceae,Geum aleppicum Jacq.,Geum aleppicum Jacq., + ,+,,,,,,Salviniaceae,Salvinia natans (L.) All.,,-,+
Rosaceae,Geum rivale L.,Geum rivale L., + ,+,,,,,,Sambucaceae,Sambucus sibirica Nakai,Sambucus sibirica Nakai, + ,+
Rosaceae,Padus avium Mill.,Prunus padus L., + ,+,,,,,,Rosaceae,Sanguisorba officinalis L.,Sanguisorba officinalis L., + ,+
Rosaceae,Potentilla anserina L.,Potentilla anserina L., + ,-,,,,,,Caryophyllaceae ,Saponaria officinalis L. ,,-,+
Rosaceae,Potentilla erecta (L.) Raeusch.,Potentilla erecta (L.) Raeusch., + ,-,,,,,,Dipsacaceae ,Scabiosa isetensis L. ,,-,+
Rosaceae,Potentilla goldbachii Rupr.,Potentilla thuringiaca Bernh., + ,+,,,,,,Dipsacaceae ,Scabiosa ochroleuca L.,,-,+
Rosaceae,Potentilla intermedia L. x Potentilla norvegica L.,Potentilla intermedia L., + ,-,,,,,,Scheuchzeriaceae ,Scheuchzeria palustris L. ,,-,+
Rosaceae,Rosa acicularis Lindl.,Rosa acicularis Lindl., + ,-,,,,,,Brassicaceae (Cruciferae),Schivereckia podolica (Bess.) Andrz. ex DC. ,,-,+
Rosaceae,Rosa majalis Herrm.,Rosa majalis Herrm., + ,+,,,,,,Cyperaceae,Scirpoides holoschoenus (L.) Sojak,,-,+
Rosaceae,Rubus arcticus L.,Rubus arcticus L., + ,-,,,,,,Cyperaceae,Scirpus lacustris L.,Schoenoplectus lacustris (L.) Palla, + ,+
Rosaceae,Rubus chamaemorus L.,Rubus chamaemorus L., + ,-,,,,,,Cyperaceae,Scirpus supinus L.,,-,+
Rosaceae,Rubus humulifolius C.A.Mey.,Rubus humulifolius C.A.Mey., + ,-,,,,,,Cyperaceae,Scirpus sylvaticus L.,Scirpus sylvaticus L., + ,+
Rosaceae,Rubus idaeus L.,Rubus idaeus L., + ,+,,,,,,Cyperaceae,Scirpus tabernaemontani C. C. Gmel.,,-,+
Rosaceae,Rubus matsumuranus H.Levl. et Vaniot ,Rubus sachalinensis var. sachalinensis , + ,-,,,,,,Cyperaceae,Scirpus triqueter L.,,-,+
Rosaceae,Rubus saxatilis L.,Rubus saxatilis L., + ,+,,,,,,Caryophyllaceae ,Scleranthus annuus L. ,,-,+
Rosaceae,Sanguisorba officinalis L.,Sanguisorba officinalis L., + ,+,,,,,,Poaceae (Gramineae),Scolochloa festucacea (Willd.) Link ,,-,+
Rosaceae,Sorbus aucuparia L.,Sorbus aucuparia L., + ,+,,,,,,Asteraceae (Compositae),Scorzonera austriaca Willd. ,,-,+
Rosaceae,Sorbus sibirica Hedl.,Sorbus aucuparia subsp. sibirica (Hedl.) Krylov, + ,-,,,,,,Asteraceae (Compositae),Scorzonera purpurea L.,,-,+
Rosaceae,Spiraea media Schmidt,Spiraea media Schmidt, + ,-,,,,,,Asteraceae (Compositae),Scorzonera stricta Hornem.,,-,+
Rosaceae,Malus domestica Borkh.,Malus domestica Borkh., + ,+,,,,,,Asteraceae (Compositae),Scorzonera taurica Bieb.,,-,+
Rosaceae,Potentilla norvegica L.,Potentilla norvegica L., + ,+,,,,,,Scrophulariaceae,Scrophularia nodosa L.,Scrophularia nodosa L., + ,+
Rosaceae,Alchemilla psiloneura Juz.,Alchemilla psiloneura Juz., + ,-,,,,,,Lamiaceae (Labiatae),Scutellaria dubia Taliev et Sirj. ,,-,+
Rosaceae,Alchemilla oxyodonta (Buser) C.G. Westerl.,Alchemilla oxyodonta (Buser) G.C.Westerl., + ,-,,,,,,Lamiaceae (Labiatae),Scutellaria galericulata L.,Scutellaria galericulata L., + ,+
Rosaceae,Alchemilla lindbergiana Juz.,Alchemilla lindbergiana Juz., + ,-,,,,,,Lamiaceae (Labiatae),Scutellaria hastifolia L.,,-,+
Rosaceae,Agrimonia asiatica Juz. ,,-,+,,,,,,Poaceae (Gramineae),Secale cereale L.,Secale cereale L., + ,+
Rosaceae,Agrimonia eupatoria L.,,-,+,,,,,,Fabaceae (Leguminosae),Securigera varia (L.) Lassen ,,-,+
Rosaceae,Agrimonia grandis Andrz. ex C.A. Mey.,,-,+,,,,,,Crassulaceae,Sedum acre L. ,,-,+
Rosaceae,Agrimonia pilosa Ledeb.,,-,+,,,,,,Apiaceae (Umbelliferae),Selinum carvifolia (L.) L.,Selinum carvifolia (L.) L., + ,-
Rosaceae,Alchemilla exilis Juz.,,-,+,,,,,,Asteraceae (Compositae),Senecio erucifolius L. ,,-,+
Rosaceae,Alchemilla glabricaulis Lindb. Fil.,,-,+,,,,,,Asteraceae (Compositae),Senecio fluviatilis Wallr.,,-,+
Rosaceae,Alchemilla gracilis Opiz,,-,+,,,,,,Asteraceae (Compositae),Senecio grandidentatus Ledeb.,,-,+
Rosaceae,Alchemilla nemoralis Alech.,,-,+,,,,,,Asteraceae (Compositae),Senecio jacobaea L.,,-,+
Rosaceae,Alchemilla propinqua Lindb. FiI.,,-,+,,,,,,Asteraceae (Compositae),Senecio nemorensis L.,Senecio nemorensis L., + ,-
Rosaceae,Amelanchier canadensis Med. ,,-,+,,,,,,Asteraceae (Compositae),Senecio schvetzovii Korsh.,,-,+
Rosaceae,Amygdalus nana L. ,,-,+,,,,,,Asteraceae (Compositae),Senecio tataricum Less.,,-,+
Rosaceae,Aronia mitschurinii A. Skvorts. et Maitul. ,,-,+,,,,,,Asteraceae (Compositae),Senecio vernalis Waldst. et Kit.,,-,+
Rosaceae,Cerasus fruticosa Pall. ,,-,+,,,,,,Asteraceae (Compositae),Senecio viscosus L.,,-,+
Rosaceae,Cerasus vulgaris L.,,-,+,,,,,,Asteraceae (Compositae),Senecio vulgaris L.,,-,+
Rosaceae,Cotoneaster melanocarpus Fisch. ex Ledeb. ,,-,+,,,,,,Asteraceae (Compositae),Serratula coronata L. ,,-,+
Rosaceae,Crataegus chlorocarpa Lenné et C. Koch ,,-,+,,,,,,Asteraceae (Compositae),Serratula gmelinii Tausch,,-,+
Rosaceae,Crataegus sanguinea Pall.,,-,+,,,,,,Asteraceae (Compositae),Serratula lycopifolia (Vill.) A. Kern.,,-,+
Rosaceae,Crataegus volgensis Pojark.,,-,+,,,,,,Asteraceae (Compositae),Serratula radiata (Waldst. et Kit.) Bieb.,,-,+
Rosaceae,Filipendula denudata (J. et C. Presl) Fritsch ,,-,+,,,,,,Asteraceae (Compositae),Serratula tinctoria L.,,-,+
Rosaceae,Filipendula stepposa Juz.,,-,+,,,,,,Apiaceae (Umbelliferae),Seseli annum L. ,,-,+
Rosaceae,Filipendula vulgaris Moench,,-,+,,,,,,Poaceae (Gramineae),Setaria pumila (Poir.) Schult. ,,-,+
Rosaceae,Fragaria campestris Stev. ,,-,+,,,,,,Poaceae (Gramineae),Setaria viridis (L.) Beauv. ,,-,+
Rosaceae,Fragaria moschata Duch.,,-,+,,,,,,Apiaceae (Umbelliferae),Silaum silaus (L.) Schinz et Thell. ,,-,+
Rosaceae,Fragaria viridis Duch.,,-,+,,,,,,Caryophyllaceae ,Silene chlorantha (Willd.) Ehrh. ,,-,+
Rosaceae,Geum × spurium Fisch. et C.A. Mey.,,-,+,,,,,,Caryophyllaceae ,Silene dichotoma Ehrh.,,-,+
